epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,8112.45,1.09818,0.68296,1.14478,0.88121,0.71094,0.77757,0.51196,1.21295,0.65332,1.27949,0.0022285,0.0022285,0.0022285
159,8154.15,1.099,0.67341,1.14588,0.88257,0.71014,0.77746,0.51195,1.2123,0.65272,1.27897,0.002179,0.002179,0.002179
160,8198.71,1.10593,0.68244,1.15148,0.88105,0.71085,0.77757,0.51221,1.21167,0.65225,1.27851,0.0021295,0.0021295,0.0021295
161,8243.74,1.09291,0.67225,1.14247,0.8825,0.71056,0.77725,0.51229,1.21069,0.65179,1.278,0.00208,0.00208,0.00208
162,8287.56,1.09399,0.67488,1.14536,0.88195,0.71,0.77741,0.51284,1.21064,0.65152,1.27756,0.0020305,0.0020305,0.0020305
163,8330.07,1.08451,0.67017,1.14192,0.8842,0.70858,0.77727,0.51278,1.21022,0.65097,1.27709,0.001981,0.001981,0.001981
164,8372.24,1.0824,0.66569,1.13914,0.88222,0.71037,0.77749,0.51319,1.20992,0.65046,1.27673,0.0019315,0.0019315,0.0019315
165,8415.63,1.08834,0.67047,1.14044,0.88405,0.70847,0.77767,0.51302,1.20907,0.65025,1.27617,0.001882,0.001882,0.001882
166,8459.48,1.07879,0.66674,1.13409,0.88202,0.70973,0.77776,0.5134,1.20827,0.64994,1.27559,0.0018325,0.0018325,0.0018325
167,8501.18,1.07922,0.66856,1.14177,0.88194,0.70887,0.77768,0.51355,1.20767,0.64966,1.27501,0.001783,0.001783,0.001783
168,8543.17,1.0831,0.66546,1.13811,0.88228,0.71024,0.77805,0.51386,1.20734,0.64918,1.27472,0.0017335,0.0017335,0.0017335
169,8585.29,1.06997,0.65742,1.13746,0.88303,0.70955,0.77806,0.51349,1.20671,0.6484,1.27429,0.001684,0.001684,0.001684
170,8626.7,1.06945,0.65793,1.13485,0.88323,0.71122,0.77878,0.51392,1.20631,0.64807,1.27408,0.0016345,0.0016345,0.0016345
171,8668.57,1.07082,0.65948,1.13084,0.88527,0.71076,0.7791,0.51375,1.20584,0.64766,1.2738,0.001585,0.001585,0.001585
172,8710.94,1.06682,0.65805,1.13484,0.88591,0.71089,0.77932,0.51425,1.20545,0.64746,1.27347,0.0015355,0.0015355,0.0015355
173,8753.12,1.06418,0.65106,1.13195,0.88661,0.71093,0.77954,0.51456,1.2052,0.64703,1.27347,0.001486,0.001486,0.001486
174,8796.64,1.06428,0.654,1.13252,0.88826,0.71035,0.77977,0.51479,1.2048,0.64659,1.27321,0.0014365,0.0014365,0.0014365
175,8839.84,1.05415,0.64671,1.1256,0.88436,0.71285,0.78004,0.51514,1.20425,0.64632,1.27293,0.001387,0.001387,0.001387
176,8881.22,1.05846,0.64773,1.12825,0.88724,0.71026,0.77994,0.51541,1.20358,0.64573,1.27247,0.0013375,0.0013375,0.0013375
177,8923.14,1.06151,0.65335,1.12992,0.88428,0.71357,0.78025,0.51542,1.2034,0.64529,1.27229,0.001288,0.001288,0.001288
178,8965.84,1.05882,0.64947,1.12944,0.88284,0.71444,0.78006,0.51554,1.20229,0.64516,1.27153,0.0012385,0.0012385,0.0012385
179,9007.55,1.04086,0.6375,1.11987,0.88335,0.71471,0.78055,0.51581,1.20195,0.64447,1.27132,0.001189,0.001189,0.001189
180,9049.35,1.04155,0.64074,1.11677,0.88387,0.71498,0.78088,0.51576,1.20182,0.64411,1.27123,0.0011395,0.0011395,0.0011395
181,9094.17,1.04615,0.64279,1.12305,0.88401,0.71553,0.78171,0.51641,1.20111,0.64318,1.27092,0.00109,0.00109,0.00109
182,9139.03,1.04226,0.64152,1.11696,0.88524,0.71553,0.78174,0.5163,1.20065,0.64282,1.27057,0.0010405,0.0010405,0.0010405
183,9181.67,1.04758,0.64154,1.11649,0.88395,0.71598,0.78164,0.51638,1.20032,0.64256,1.27038,0.000991,0.000991,0.000991
184,9233.01,1.04301,0.63802,1.11028,0.88467,0.71598,0.78204,0.51686,1.2,0.6423,1.27021,0.0009415,0.0009415,0.0009415
